TechnicalDescription,failure_reason
Direct mapping to Status column in IncidentsSnapshotV2 table from ICMDataWarehouse source having string values.,Missing source info
Direct Mapping to StateLastUpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to InternalState column in  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct mapping to IncidentId column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to LastEmailInteractionCreatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
This is reference key to the DimQueue to get more details of Queue.This key is populated by joining RoutingContextId column in Cases table coming from DFM Events data processed by Cornerstone with NativeQueueId column in DimQueue table coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct mapping of TimeId column in DimTime table coming from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to Skill Type column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values,Missing source info
Direct mapping to CalendarMonthName column from DimTime table coming from Commercial NextDay Datamart within SA&DP Datamart within SA&DP having string values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier) column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to OneCloudUsed column in SupportRequestDetails_NRT intermediate table having  boolean values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to RoutingContextId column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to AcknowledgeDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
Direct Mapping to IsM365 column in SlaItem table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to ServiceOfferingLevel3 column in DimServiceOfferingMaster table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to EntityAction column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to Rating column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values.,Missing source info
Direct Mapping to UpdatedAttrbutes column in Labor table coming from DFM Events data processed by Cornerstone having  String values.,Missing source info
Direct mapping to MessageId column in SupportRequestPreCommunication table coming from upstream Amplify source having string values.,Missing source info
Direct mapping to EntityURI column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
Direct Mapping to AssignmentPendingSince column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct mapping to ModifiedDate column coming from IncidentsSnapshotV2 table from ICMDataWarehouse source having  Timestamp(UTC) values.,Missing source info
"Derived by applying decode logic on CustomerType, CustomerType2, CustomerType3, CustomerIdSource, CustomerIdSource2, CustomerIdSource3 columns in Cases table loaded from DFM Events data processed by Cornerstone source.
Logic: CASE   WHEN CustomerType ='supportpartner' and CustomerIdSource is not equal to 'unknown' and CustomerIdSource is NOT NULL THEN CustomerId1
	             WHEN CustomerType2 ='supportpartner' and CustomerIdSource2 is not equal to 'unknown' and CustomerIdSource2 is NOT NULL THEN CustomerId2
                             WHEN CustomerType3 ='supportpartner' and CustomerIdSource3 is not equal to 'unknown' and CustomerIdSource3 is NOT NULL THEN CustomerId3
            END AS PartnerTenantId",Transformation logic
Direct Mapping to ServicePackageSku column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to AssignedToAssignedCount column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to CustomerProgramType  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to AssignmentPending column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AssignmentPending column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in days between Current Timestamp and CreatedDateTime column in Cases table.
               When State ='Closed' it calculates the difference in days between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
               If the result when either of the above conditions met SRAgeDays assigned to 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
Direct Mapping to State column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to IsM365 column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to AssignmentPendingSince column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on column SRCreationDateTime in FactSREvents from Commercial NRT Datamart within SA&DP source.
Logic: Assigns a region based on the value of SRCreationDateTime.",Transformation logic
Direct Mapping to IsAutomated  column in EmailInteraction table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct mapping to IsIncidentServiceImpactingEvent column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct mapping to EventDateTime column in Cases table coming from DFM Events data processed by Cornerstone source having timestamp(UTC) values.,Missing source info
Direct Mapping to IsCritSit column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct Mapping to BlockedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SROwner  column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having String values.,Missing source info
Direct Mapping to ServiceOfferingLevel2 column in DimServiceOfferingMaster table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct mapping from SAPId (Support Area Path Id) column in EscalationTask table coming from DFM Events data processed by Cornerstone having alphanumeric values.,Missing source info
Direct mapping to Is24X7OptedIn column in Cases table coming  from DFM Events data processed by Cornerstone source  having boolean values.,Missing source info
Direct Mapping to AssignmentPendingSince column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to StateAnnotationLastUpdatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
Direct Mapping to SecondaryTicketnumber column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values,Missing source info
Direct Mapping to StateLastUpdatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to AzureSubscriptionId column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AgentIdAssignedCount column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to UpdatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
Direct Mapping to SupportLanguageKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to id  column in KPI table coming from DFM Events data processed by Cornerstone having string values..,Missing source info
Direct mapping to IsARR column in DimSupportServiceRequest table coming  from Commercial NextDay Datamart within SA&DP source  having boolean values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to EnqueuedTimeUtc  column in EmailInteraction table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to FirstEmailInteractionCreatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
Direct Mapping to SecondaryTicketType column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values,Missing source info
This is a reference key to the DimSupportAreaPath table to get more details about Support area path. This key is populated by joining SupportAreaPathID in DimSupportAreaPath table coming from Commercial NextDay Datamart within SA&DP with SAPID in Cases table coming from  DFM Events data processed by Cornerstone to pick DimSupportAreaPath.SAPKey.,Conditions of join
Direct Mapping to IsM365 column in CollaborationTask table from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to CaseType column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having string values.,Missing source info
Direct mapping to RequestId column in SupportRequestDetails_NRT intermediate table having String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
"Derived by applying decode logic on IsEUSchrems column in EmailInteraction table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to IsM365 column in FollowUpTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct mapping to TranferredTo  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to LastEmailSentDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on ProgramType column in Cases table coming from DFM Events data processed by Cornerstone source having string values.
Logic : CASE When ProgramType = %csscsd% then hardcoded as true else false.",Transformation logic
Direct mapping to FiscalMonthOfYear in DimTime table coming from Commercial NextDay Datamart within SA&DP having integer values.,Missing source info
Direct Mapping to Complex  column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having  String values.,Missing source info
"Indirect mapping to IRStatusKey in DimIRStatus table, derived by joining IRStatus column in DimIRStatus table with IRStatus column in SlaItem table, replacing NULL values with -1.",Missing source info
Direct Mapping to StartsOn  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
SurrogateKey generated within UDP NRT to identify unique records of DimIdleTimeSpan table.,Uncategorized
Direct Mapping to CreatedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AgentIdLastUpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on StateAnnotation, DynamicsStatus, EventDateTime and ActiveSystem columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE WHEN ActiveSystem = 'dynamics' AND EventDateTime greater than or equal to  '2022-02-21' THEN DynamicsStatus ELSE StateAnnotation END AS ServiceRequestStatus",Transformation logic
Direct Mapping to StateLastUpdatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to Causes column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to StateLastUpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on EventDateTime column in DFM Events data processed by Cornerstone.
Logic: It extracts the date portion of EventDateTime. If SRModifiedTimeId is null, it replaces it with -1.",Transformation logic
"Derived attribute of datatype boolean in PurgedIncidents table coming from Commercial NextDay Datamart within SA&DP.
Logic: Step1 - We hardcode IsPurged as 1 for the all distinct ServiceRequestNumber coming from PurgedIncidents table.
Step2 - We fetch IsPurged by joining SRNumber column in Cases table coming from DFM Events data processed by Cornerstone and ServiceRequestNumber column in PurgedIncidents table.
Step3 - If the value from step 2 is null then it will assign 0.",Transformation logic
Direct mapping to AcknowledgeDateTime in SupportRequestDetails_NRT intermediate table having Timestamp(UTC) values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to UpdatedBy column in CollaborationTask table coming from DFM Events data processed by Cornerstone timestamp values in UTC.,Missing source info
Direct Mapping to Critsits column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values.,Missing source info
Direct Mapping to StateLastUpdatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
Direct mapping to TimeOfDayID column in DimTImeOfDay table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to CustomerIdSource column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to EventType column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
"Derived by applying decode logic on StateAnnotation, EventDateTime, CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It takes minute difference of EventDateTime and CreatedDateTime columns when StateAnnotation IN ( 'resolved','resolved external','resolved by customer').",Transformation logic
"Derived attribute of datatype smallint based on CaseReopenRowID and EntityAction columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: WHEN  CaseReopenRowID = 1 THEN 1 ELSE 0 AS ReopenCount where EntityAction = 'CaseReopened'",Transformation logic
Direct Mapping to IsPublicSector column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct Mapping to EscalationId column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
Direct mapping to FiscalYear column coming in DimTime table coming from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to AssignmentPendingSince column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
"Derived attribute of datatype boolean in PurgedIncidents table coming from Commercial NextDay Datamart within SA&DP.
Logic: Step1 - We hardcode IsPurged as 1 for the all distinct ServiceRequestNumber coming from PurgedIncidents table.
Step2 - We fetch IsPurged by joining SRNumber column in Cases table coming from DFM Events data processed by Cornerstone and ServiceRequestNumber column in PurgedIncidents table.
Step3 - If the value from step 2 is null then it will assign 0.",Transformation logic
Direct Mapping to SRCreatedDateTime  column  from FactSREvents table coming from Commercial NRT Datamart within SA&DP source having Timestamp(UTC)values.,Missing source info
Direct Mapping to ContractObjID column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to ProgramId column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
Direct mapping to State  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on TicketNumber column in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation).
Logic: Append ""https://rave.office.net/cases/"" and TicketNumber column together.",Transformation logic
"Derived by applying decode logic based on Severity column in Cases table coming from DFM Events data processed by Cornerstone source.
Logic :  If the severity from cases table is unknown (either explicitly set to -1 or null), it is labeled as 'Unknown'. 
                 If the severity is '2', it is labeled as 'A'. If it's '3', it's labeled as  'B', and if it's '4', it's labeled as 'C'.",Transformation logic
Direct Mapping to RoutingContextId column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier) column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to UpdatedBy column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to AgentLineOfBusiness column in Cases table coming from DFM Events data processed by Cornerstone having string values. ,Missing source info
Direct Mapping to EntityAction column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CaseNumber  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to IsM365 column in CollaborationTask table from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to UpdatedAttributes column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to PartnerTenantId column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to DataSourceName column in DimDataSource table coming from Commercial NextDay Datamart within SA&DP having string values.,Missing source info
This is reference key to the DimAgeTimeSpan table to get more details about AgeTimeSpan. This key is populated by joining TimeSpan column in DimTimeSpan table coming from Commercial NextDay Datamart within SA&DP with CaseAgeTimeSpan column in FactSRSupportData coming from Commercial NRT Datamart within SA&DP.,Conditions of join
"Derived by applying decode logic on QueueName and PreviousRoutingQueueName columns in DimQueue coming from Commercial NextDay Datamart within SA&DP and SREvents table coming from Commercial NRT Datamart within SA&DP.
Logic: It converts either ""QueueName"" or ""PreviousRoutingQueueName"" to a string, if both are null it assign 'Unknown'.",Transformation logic
Direct Mapping to EntitlementId column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
"Derived by applying decode logic based on StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE WHEN StateAnnotation  = ('identifying issue' ,'identifying the issue' ,'scope' ,'initial contact pending' ,'resolved' ,'resolved by customer' ,'resolved external' ,'troubleshooting' ,'waiting for confirmation' ,'waiting for information' ) Then hardcoded as 1 else 0.",Transformation logic
Direct Mapping to TransferLocation column in SupportRequestDetailsSIPv2 table from coming from Rave data processed by Amplify Sourcehaving String values.,Missing source info
"Derived by applying decode logic on StateAnnotation and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: If  StateAnnotation contains any one of the specified values in ('identifying the issue', 'identifying issue', 'scope') then it returns the EventDateTime from Cases table otherwise, it returns NULL.",Transformation logic
"Derived by applying decode logic based on StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE WHEN StateAnnotation NOT IN ('identifying the issue','identifying issue','scope')  THEN 1 ELSE 0.",Transformation logic
Direct Mapping to EventType  column in SlaItem table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct mapping to CalendarMonth column from DimTime table coming from Commercial NextDay Datamart within SA&DP Datamart within SA&DP having string values.,Missing source info
Direct Mapping to StateLastUpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to StateChangedOn column in KPI table coming from DFM Events data processed by Cornerstone having timestamp values in UTC. The last time state of the incident changed.,Missing source info
Direct Mapping to SupportArea column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values,Missing source info
Direct Mapping to EntityType  column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on EventDateTime, AgentId, AgentIdAssignedCount and UpdatedAttributes columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE WHEN AgentId IS NOT NULL AND AgentIdAssignedCount = 1 AND UpdatedAttributes like '%AgentId%' THEN EventDateTime END AS FirstAssignmentDateTime.",Transformation logic
"Derived by applying decode logic based on SubscriptionType, SkillIds, SupportAreaNames and ProgramId columns in SupportRequestDetailsSIPv2 Table  loaded  from Rave data processed by Amplify source. Logic:  If SubscriptionType=1 OR SupportAreaNames LIKE 'premier%' OR SkillIds LIKE '%393216%' OR SkillIds LIKE '%589824%'  OR SkillIds LIKE '%589825%' OR ProgramId='5c44c5ec-5fd4-4e45-ab0d-dd9156d1bde9' AND (SubscriptionType not equals to  2 OR SubscriptionType IS NULL) THEN 'Premier' WHEN SupportAreaNameL1= 'proactive' THEN 'Proactive'  ELSE 'Non-Premier'. END AS ServiceOffering",Transformation logic
Direct Mapping to EventDateTime column in EmailInteraction table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to EscalationTeam column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to EntityAction column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to FinalTheme  column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values .,Missing source info
Direct mapping to IsARR column in DimSupportServiceRequest table coming  from Commercial NextDay Datamart within SA&DP source  having boolean values.,Missing source info
Direct Mapping to State column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having string values.,Missing source info
"Derived by applying decode logic on IsEUSchrems column in EscalationTask table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to EntityURI (Entity  Universal Resource Identifier) column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SAPId (Support Area Path Id) column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AssignedToAssignedCount column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to MaxSeverity  column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having integer values.,Missing source info
Direct Mapping to UpdatedOn  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic based on Row_InitialPreviousRoutingContext and EventDateTime columns in SREvents table coming from DFM Events data processed by Cornerstone.
Logic: WHEN Row_InitialPreviousRoutingContext = 1, it considers QueueKey from DimQueue table by joining PreviousRoutingContextId in SREvents table with NativeQueueID in DimQueue table. The QueueKey is assigned as PreviousAssignedQueueKey.",Transformation logic
Direct Mapping to EntityAction  column in CollaborationTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to CustomerProgramType column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
This is a reference key to the DimSupportAreaPath table to get more details about Support area path. This key is populated by joining SupportAreaPathID column in DimSupportAreaPath table coming from Commercial NextDay Datamart within SA&DP with SAPID column in Cases table coming from  DFM Events data processed by Cornerstone.,Conditions of join
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct Mapping to EntityAction column in CollaborationTask Table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to ICM_IncidentId column in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having Integer values.,Missing source info
Direct mapping to FiscalYearName column in DimTime table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
"Derived by applying decode logic on Id and TaskType columns in EmailInteraction table coming from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='EmailInteraction'.
Step2- If TaskCountId coming from step 1 is NULL, it replaces it with 0 END AS EmailInteractions",Transformation logic
Direct Mapping to CaseType column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"Derived by applying decode logic on column SRCreationDateTime in FactSREvents table coming from Commercial NRT Datamart within SA&DP source.
Logic: It calculates the number of minutes that have passed between the current Unix timestamp and the SRCreationDateTime.",Transformation logic
Direct Mapping to IsPartnerServiceRequest column in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to AssignedToAssignedCount column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to TicketNumber column in CustomerScheduledCallbackTime table coming from Amplify source having Integer values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to FirstEmailSentDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
Direct mapping to TimeOfDayID column in DimTImeOfDay table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to CreatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to SAPId (Support Area Path Id) column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on RequestAge_Days column in SupportRequestDetails_NRT intermediate table. The logic involves several conditional checks based on the values in RequestAge_Days, which categorize the data into different age buckets.",Transformation logic
"Derived by applying decode logic on StateAnnotation, EventDateTime, CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic:  It takes minute difference between EventDateTime and CreatedDateTime columns when StateAnnotation in ('waiting for confirmation').",Transformation logic
Direct mapping to OriginatingSystem  column in Cases table coming from DFM Events data processed by Cornerstone having Integer values.,Missing source info
Direct mapping to RestrictedAccessProgramName column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
"Derived by applying decode logic on IsEUSchrems column in FollowUpTask table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to SubPlanningCategory column  from DimPlanningCategory table coming from Commercial NextDay Datamart within SA&DP  source having string values.,Missing source info
Direct Mapping to CreatedOn column in Cases table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
"Derived by applying decode logic on KPIState column in DimKPIState table coming from Commercial NextDay Datamart within SA&DP and  State, Name and SRNumber columns in KPIFlash intermediate table.
KPIFLASH: This intermediate table is derived from KPI table coming from DFM Events data processed by Cornerstone by taking SRNumber, max of State column by grouping on SRNumber and Lower(Name) 
Logic -  
Step-1: DimKPIState table is joined with KPIFLASH intermediate table on join condition DimKPIState.KPIState = KPIFLASH.State and LOWER(KPIFLASH.Name) = 'fwr' to pick max of DimKPIState.KPIStateKey grouped by on KPIFLASH.SRNumber
Step-2: If KPIStateKey derived in step 1 is NULL then hardcoded as -1 else whatever value coming in KPIStateKey is populated.",Transformation logic
Direct Mapping to column FiscalYear column in SupportRequestDetails table coming from source DFM Cornerstone.,Missing source info
This is a reference key to ServiceOfferingMasterKey table to get more details about ServiceOffering.It Is populted by joining SRNumber in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP with SRNumber in Cases table coming from DFM Events data processed by Cornerstone.,Conditions of join
Direct Mapping to SlaType  column in SlaItem table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct mapping to ARRType column coming from DimARRService table.,Missing source info
Direct Mapping to SupportCountry column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to TenantId column in SupportRequestDetails_NRT intermediate table having String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to EventDateTime  column in Labor table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to UpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to CompletedOn  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to QueueKey column in FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
Direct Mapping to UpdatedAttributes  column in SlaItem table coming from DFM Events data processed by Cornerstone having String values .,Missing source info
Direct mapping to IsM365SR column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct mapping to SupportChannel column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to IsS500Program column in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Direct Mapping to UpdatedBy column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to State column in SlaItem table coming from DFM Events data processed by Cornerstone having String values .,Missing source info
Direct mapping to CaseUri column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to RescheduleCount column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct mapping to TeamId  column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
Direct mapping to RequestAgeDays column in SupportRequestDetails_NRT intermediate table having integer values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to CaseNumber column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to UpdatedBy column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SRCreationChannel column in FactSREvents table coming from Commercial NRT Datamart within SA&DP source having  String values.,Missing source info
Direct Mapping to AssignmentPending column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to LastActionTimeEnd column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having timestamp values in UTC..,Missing source info
"Derived by applying decode logic on StateAnnotation, EventDateTime, CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic:  It takes minute difference between EventDateTime and CreatedDateTime columns when StateAnnotation in ('waiting for confirmation').",Transformation logic
